,Crime,Date,Latitude,Longitude
208,THEFT,2020-04-03T15:25:00.000,41.735752519,-87.62542903200001
209,BATTERY,2020-04-03T15:21:00.000,41.762836381999996,-87.650418961
210,ROBBERY,2020-04-03T15:20:00.000,41.880854612,-87.745289273
211,WEAPONS VIOLATION,2020-04-03T15:18:00.000,41.844592503,-87.700964105
212,THEFT,2020-04-03T15:15:00.000,41.803192292,-87.601577066
213,BATTERY,2020-04-03T15:15:00.000,41.87839121,-87.761229974
214,ASSAULT,2020-04-03T15:07:00.000,41.748699208000005,-87.606377545
215,THEFT,2020-04-03T15:00:00.000,41.70965132,-87.648986169
216,THEFT,2020-04-03T15:00:00.000,41.704476605,-87.646408011
217,CRIMINAL DAMAGE,2020-04-03T15:00:00.000,41.778922967,-87.706166918
218,THEFT,2020-04-03T15:00:00.000,41.797307609,-87.644016645
219,OTHER OFFENSE,2020-04-03T15:00:00.000,41.892724688,-87.710134375
220,INTERFERENCE WITH PUBLIC OFFICER,2020-04-03T14:55:00.000,41.691667941999995,-87.62412586
221,THEFT,2020-04-03T14:55:00.000,41.803192292,-87.601577066
222,OTHER OFFENSE,2020-04-03T14:54:00.000,41.874422837,-87.625299815
223,CRIMINAL TRESPASS,2020-04-03T14:54:00.000,41.727309824,-87.58792089200001
224,THEFT,2020-04-03T14:50:00.000,41.913581053,-87.654964655
225,BATTERY,2020-04-03T14:45:00.000,41.983675412,-87.65711202
226,THEFT,2020-04-03T14:45:00.000,41.787403397,-87.708284349
227,ROBBERY,2020-04-03T14:43:00.000,41.889011832,-87.76907172700001
228,WEAPONS VIOLATION,2020-04-03T14:33:00.000,41.862559808,-87.721859154
229,CRIMINAL DAMAGE,2020-04-03T14:30:00.000,,
230,BATTERY,2020-04-03T14:30:00.000,41.745215134,-87.601378315
231,OTHER OFFENSE,2020-04-03T14:29:00.000,41.800763414,-87.70793081
232,BATTERY,2020-04-03T14:23:00.000,41.923041315999996,-87.737740351
233,ROBBERY,2020-04-03T14:15:00.000,41.765688945,-87.616387018
234,ROBBERY,2020-04-03T14:15:00.000,41.784637233000005,-87.64173240000001
235,BATTERY,2020-04-03T14:10:00.000,41.949105613,-87.650441555
236,THEFT,2020-04-03T14:05:00.000,41.909240284,-87.65274758
237,THEFT,2020-04-03T14:00:00.000,41.919242071999996,-87.638844194
238,BURGLARY,2020-04-03T14:00:00.000,41.702813688,-87.626965938
239,THEFT,2020-04-03T14:00:00.000,41.719243315,-87.63224012399999
240,MOTOR VEHICLE THEFT,2020-04-03T14:00:00.000,41.880541389,-87.64314851299999
241,THEFT,2020-04-03T13:55:00.000,41.874418933,-87.62555688200001
242,CRIMINAL DAMAGE,2020-04-03T13:50:00.000,41.765814155,-87.566094159
243,ASSAULT,2020-04-03T13:50:00.000,41.819405738,-87.697015061
244,BATTERY,2020-04-03T13:48:00.000,41.719417959,-87.56882573200001
245,BATTERY,2020-04-03T13:43:00.000,41.693107356,-87.627917936
246,BATTERY,2020-04-03T13:40:00.000,41.965484508,-87.651149144
247,CRIMINAL DAMAGE,2020-04-03T13:38:00.000,41.714279196999996,-87.573164579
248,CRIMINAL DAMAGE,2020-04-03T13:37:00.000,41.839543395999996,-87.627086294
249,THEFT,2020-04-03T13:30:00.000,,
250,THEFT,2020-04-03T13:30:00.000,,
251,WEAPONS VIOLATION,2020-04-03T13:30:00.000,41.901570258,-87.71895618
252,OTHER OFFENSE,2020-04-03T13:25:00.000,41.702264249,-87.64633634799999
253,DECEPTIVE PRACTICE,2020-04-03T13:24:00.000,41.879776647,-87.72432792200001
254,THEFT,2020-04-03T13:20:00.000,41.953051971,-87.68115147299999
255,OTHER OFFENSE,2020-04-03T13:17:00.000,41.804928831999995,-87.61804035200001
256,ASSAULT,2020-04-03T13:12:00.000,41.771657888,-87.703990495
257,ASSAULT,2020-04-03T13:06:00.000,41.70273219,-87.622206261
258,THEFT,2020-04-03T13:00:00.000,41.968234566999996,-87.72857161600001
259,THEFT,2020-04-03T13:00:00.000,41.998406758,-87.688682785
260,BATTERY,2020-04-03T13:00:00.000,41.841471897,-87.62920462700001
261,DECEPTIVE PRACTICE,2020-04-03T13:00:00.000,41.867298614,-87.773415019
262,CRIMINAL DAMAGE,2020-04-03T13:00:00.000,41.909648748,-87.796006281
263,THEFT,2020-04-03T13:00:00.000,41.924733961,-87.70569633
264,BATTERY,2020-04-03T13:00:00.000,41.899824735,-87.684496039
265,BATTERY,2020-04-03T12:55:00.000,41.809409486,-87.691795321
266,THEFT,2020-04-03T12:49:00.000,41.764010344,-87.564741105
267,ASSAULT,2020-04-03T12:47:00.000,41.998116065,-87.70454900899999
268,MOTOR VEHICLE THEFT,2020-04-03T12:40:00.000,41.70378456,-87.60532000799999
269,CRIMINAL DAMAGE,2020-04-03T12:38:00.000,41.727872616999996,-87.551207132
270,CRIMINAL DAMAGE,2020-04-03T12:30:00.000,41.758560412,-87.56272800299999
271,CRIMINAL DAMAGE,2020-04-03T12:30:00.000,41.713408629,-87.63444980700001
272,BATTERY,2020-04-03T12:30:00.000,41.734443023000004,-87.60169847799999
273,CRIMINAL TRESPASS,2020-04-03T12:30:00.000,41.707560066,-87.54012240700001
